date,open,high,low,close,prev_close,volume,source
2026-04-01,2210.5,2235.0,2200.0,2225.8,2198.4,0,csv
2026-04-02,2226.0,2245.0,2215.0,2238.6,2225.8,0,csv
2026-04-03,2238.0,2252.0,2228.0,2244.1,2238.6,0,csv
2026-04-20,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-18,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-19,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-20,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-21,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-22,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-25,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-27,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-28,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-05-29,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-01,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-02,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-03,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-04,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-05,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-08,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
2026-06-09,2254.11,2268.21,2243.76,2256.22,2245.91,0,yahoo
